latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.75,-74.0,18.0,-18000,America/New_York,EST

time,temperature_2m_max (°C)
2015-01-01,3.4
2015-01-02,5.1
2015-01-03,4.9
2015-01-04,12.4
2015-01-05,9.3
2015-01-06,-5.2
2015-01-07,-4.7
2015-01-08,-6.8
2015-01-09,-0.5
2015-01-10,-5.5
2015-01-11,1.2
2015-01-12,2.9
2015-01-13,2.6
2015-01-14,-1.7
2015-01-15,0.9
2015-01-16,4.6
2015-01-17,-2.5
2015-01-18,5.1
2015-01-19,5.0
2015-01-20,3.3
2015-01-21,-0.2
2015-01-22,3.3
2015-01-23,2.6
2015-01-24,2.5
2015-01-25,4.7
2015-01-26,-1.8
2015-01-27,-2.9
2015-01-28,-1.5
2015-01-29,-0.3
2015-01-30,2.4
2015-01-31,-4.0
2015-02-01,1.5
2015-02-02,0.5
2015-02-03,-4.6
2015-02-04,3.3
2015-02-05,1.4
2015-02-06,-4.1
2015-02-07,1.9
2015-02-08,3.2
2015-02-09,-1.1
2015-02-10,2.3
2015-02-11,-0.9
2015-02-12,2.8
2015-02-13,-6.8
2015-02-14,-1.9
2015-02-15,-5.3
2015-02-16,-7.3
2015-02-17,-3.2
2015-02-18,-1.4
2015-02-19,-5.6
2015-02-20,-7.7
2015-02-21,-1.8
2015-02-22,4.5
2015-02-23,0.8
2015-02-24,-6.8
2015-02-25,1.9
2015-02-26,-3.5
2015-02-27,-2.0
2015-02-28,-2.0
2015-03-01,-2.5
2015-03-02,2.7
2015-03-03,1.1
2015-03-04,5.5
2015-03-05,4.1
2015-03-06,-4.5
2015-03-07,2.3
2015-03-08,8.0
2015-03-09,9.7
2015-03-10,7.2
2015-03-11,11.0
2015-03-12,6.7
2015-03-13,4.0
2015-03-14,8.3
2015-03-15,6.9
2015-03-16,8.4
2015-03-17,11.1
2015-03-18,3.3
2015-03-19,4.4
2015-03-20,0.8
2015-03-21,5.9
2015-03-22,4.9
2015-03-23,2.6
2015-03-24,5.2
2015-03-25,5.3
2015-03-26,13.2
2015-03-27,7.6
2015-03-28,3.1
2015-03-29,6.6
2015-03-30,10.4
2015-03-31,7.5
2015-04-01,9.9
2015-04-02,15.6
2015-04-03,16.5
2015-04-04,14.0
2015-04-05,13.9
2015-04-06,15.8
2015-04-07,12.6
2015-04-08,6.5
2015-04-09,5.4
2015-04-10,12.5
2015-04-11,13.2
2015-04-12,15.8
2015-04-13,18.8
2015-04-14,17.2
2015-04-15,19.3
2015-04-16,15.1
2015-04-17,19.5
2015-04-18,23.5
2015-04-19,14.7
2015-04-20,14.7
2015-04-21,17.2
2015-04-22,19.3
2015-04-23,9.4
2015-04-24,9.3
2015-04-25,14.2
2015-04-26,14.5
2015-04-27,14.6
2015-04-28,18.9
2015-04-29,22.5
2015-04-30,16.1
2015-05-01,13.6
2015-05-02,18.4
2015-05-03,24.7
2015-05-04,26.4
2015-05-05,27.0
2015-05-06,18.8
2015-05-07,23.0
2015-05-08,25.2
2015-05-09,19.1
2015-05-10,27.0
2015-05-11,27.1
2015-05-12,28.3
2015-05-13,19.0
2015-05-14,20.2
2015-05-15,22.1
2015-05-16,22.4
2015-05-17,27.1
2015-05-18,21.4
2015-05-19,25.2
2015-05-20,18.5
2015-05-21,15.1
2015-05-22,21.5
2015-05-23,19.3
2015-05-24,24.7
2015-05-25,27.9
2015-05-26,28.2
2015-05-27,27.5
2015-05-28,28.2
2015-05-29,25.3
2015-05-30,27.7
2015-05-31,27.7
2015-06-01,19.1
2015-06-02,13.6
2015-06-03,19.2
2015-06-04,16.9
2015-06-05,20.4
2015-06-06,23.5
2015-06-07,21.8
2015-06-08,24.6
2015-06-09,26.6
2015-06-10,26.9
2015-06-11,30.9
2015-06-12,29.3
2015-06-13,27.6
2015-06-14,28.7
2015-06-15,27.0
2015-06-16,26.3
2015-06-17,25.2
2015-06-18,20.5
2015-06-19,27.8
2015-06-20,22.5
2015-06-21,30.5
2015-06-22,30.1
2015-06-23,32.7
2015-06-24,27.7
2015-06-25,27.6
2015-06-26,25.6
2015-06-27,21.5
2015-06-28,22.6
2015-06-29,24.6
2015-06-30,26.0
2015-07-01,27.8
2015-07-02,25.5
2015-07-03,26.6
2015-07-04,23.5
2015-07-05,27.1
2015-07-06,27.0
